texto,prediccion,score,rules,etiqueta_real,tipo_error,error_magnitud
"No disfruté el festival, la programación fue monótona y poco atractiva.",1,0.7,negation,0,FP,0.7
"La calidad de las presentaciones fue baja, esperaba mucho más.",1,2.3,,0,FP,2.3
Falta de recursos en el colegio afecta la calidad de la educación.,1,1.2,,0,FP,1.2
Los estudiantes no reciben suficiente apoyo en sus estudios.,1,1.2,,0,FP,1.2
El servicio al cliente fue pésimo y no resolvió mi problema.,1,0.3,negation,0,FP,0.3
La obra de teatro superó todas mis expectativas.,0,0.0,,1,FN,0.0
El museo estaba vacío y sin actividades interesantes.,1,2.2,negation,0,FP,2.2
El evento cultural fue aburrido y sin nada especial.,1,2.0,negation;negation,0,FP,2.0
La feria cultural fue decepcionante y sin variedad.,1,2.4,negation,0,FP,2.4
Los profesores están muy capacitados y comprometidos.,0,0.0,,1,FN,0.0
Los profesores no respondieron mis dudas.,1,0.9,negation,0,FP,0.9
"La película que vi el fin de semana fue impresionante, la trama estaba bien desarrollada y los efectos visuales eran espectaculares, me dejó sin palabras.",0,-0.5,negation,1,FN,0.5
"La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.",0,0.0,,1,FN,0.0
"El festival cultural de este año fue bastante decepcionante, la organización fue deficiente y las actividades parecían improvisadas.",1,0.6,,0,FP,0.6
"Visité el museo pero muchas de las exhibiciones estaban cerradas, lo cual fue frustrante, especialmente después de pagar la entrada completa.",1,1.5,"adversative(pero,x1.5)",0,FP,1.5
"La nueva metodología de enseñanza ha logrado que los estudiantes participen más y disfruten del proceso de aprendizaje, es un cambio notable.",0,-0.5,,1,FN,0.5
"La conferencia educativa a la que asistí fue inspiradora, los ponentes eran expertos en su área y brindaron conocimientos muy valiosos.",0,0.0,,1,FN,0.0
"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas.",1,1.3,negation,0,FP,1.3
"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas.",1,1.3,negation,0,FP,1.3
"La película fue una verdadera pérdida de tiempo, con un guion predecible y actuaciones sin vida; la falta de calidad ciertamente fue evidente.",1,1.2,,0,FP,1.2
"La muestra de arte contemporáneo superó todas mis expectativas, los colores vibrantes y las temáticas sociales transmitían un mensaje profundo y emotivo.",0,0.0,,1,FN,0.0
"El festival cultural fue bastante decepcionante, las actividades no tenían cohesión y parecía que faltaba organización en todo momento.",1,3.4,negation,0,FP,3.4
"La exposición de esculturas modernas me dejó indiferente, no logré conectar con el estilo y la falta de contexto de algunas obras.",1,1.1,,0,FP,1.1
"El evento prometía una experiencia cultural completa, pero resultó ser una presentación monótona sin ningún valor añadido para el público.",1,1.35,"negation;adversative(pero,x1.5)",0,FP,1.35
"El programa de tutorías personalizadas ha sido fundamental para mejorar el rendimiento académico de muchos estudiantes, se sienten más seguros y motivados.",0,0.0,,1,FN,0.0
"La biblioteca digital de la universidad ofrece un amplio acceso a artículos, libros y tesis que enriquecen el proceso educativo de manera notable.",0,0.0,,1,FN,0.0
"El material de estudio proporcionado está desactualizado y ya no es útil para los temas actuales, los estudiantes no logran profundizar en su aprendizaje.",1,1.1,negation,0,FP,1.1
"El método de enseñanza en algunos cursos es obsoleto, los estudiantes pierden interés porque no encuentran relevancia en lo que están aprendiendo.",1,2.2,,0,FP,2.2
