"texto","sentimiento"
"Voy a ponerlo privado pero todos pueden invitar OK",0
"Ya ahi hay unas cuantas gnts d la fac",0
"Cabrón lo hiciste primero que yo",-1
"People vamos a coger el grupo para cosas mas menos serias",0
"Si porque te ayuda a ti y no a los demas",-1
"Ellos lo que quieren q la gnt pongan su link pa ellos cogeer la estamina",-1
"Mandale por privado si quieres",0
"Va a ver que poner reglas aqui",0
"Por cierto la gente de los ciervos Tenemos un canal de ciervos cuba",0
"Yo regañando y tu haciendo eso",-1
"Hay un canal para hispanohablantes",0
"Eso no es spam así que lo voy a mandar",0
"Si mientras no sea para darte algo a ti perfect",1
"Pepe habla ahi de compilación q tu eres el mostro en eso",1
"q bolon tu eres pepe o eso no era para ti pepe",0
"Nah cuando se cansen le ponen el grab en 100 y se demora en atender",-1
"Quien eres Grell digo eres d Matcom y Es q no t conozco y Al resto si",-1
"Ahhh es q la foto no la mire bien",0
"y daa ya tienes el proyecto a ver pepe",0
"el esta en 2do no en 3ero pepe se rompio ya hicieron los equipos me imagino",-1
"Ven acá Que hace tanta gente despierta a está hora",0
"Pero todavia seguimos con esa discusion",-1
"eso no se discute hay que tener identidad",-1
"y la identidad no la damos nosotros",0
"Yo defiendo la que mejor me identifique",0
"seria una pizza en una laptop para mi",0
"Y como jefe les comunico que es por gusto",-1
"al menos la representacion legal",0
"El no tiene cara ya para hablar de eso",-1
"Si Abro convocatoria oficial para hacer el sitio de la facultad",1
"Coto confio en el y hace 3 años q estamos sin ese servidor",-1
"Joder me voy que tengo que hacer caffe",0
"Formar una dirección de informatización de la feu e ir metiendo el pie para hacer esas cosas como proyecto de base de datos e ingeniería",1
"Bueno eso es largo y las PLU no esperan por nadie",-1
"O cualquier otra asignatura que lo admita",0
"Primer Proyecto Calendario MatCom",1
"Tiene que salir bien para poder exigir",0
"Y para cuando piensan implementar las Poll",0
"Tuve que cambiar para Telegram normal",0
"Me pasaba lo mismo Pero actualicé en la school",0
"Yo actualice despues que dijeron que habian sacado el Poll pero parece que fue muy rapido",0
"Acabo de instalar Telegram X de la Play Store",0
"Chino a ver si creas un chat for learning q si se use pa cosas serias y discutir temas xq el 11 tiene uno Incluso podemos meter a hian pa q imponga siempre su criterio",1
"Esa si es una pregunta profunda Why",0
"Ño de madre incluyeron a roberto",-1
"Una pena pero había que hacerlo",-1
"Tas fasteando el derecho de admision permanente en el local eh",-1
"No pongas Caritas que tu sabes que es verdad",-1
"Oye no rieguen chisme Que los voy a bloquear",-1
"Hay que llegar a los 100 hoy mi gente Vamos denlen duro",1
"Fasteando compilacion ahora eh",-1
"Balboa no me dijera eso dsps del cuero q le dimos",-1
"Oe chino pon como regla q no se pongan tildes no sean antivagos",0
"Tate tranquilo o bajanda pa ti",-1
"na Leynier está haciendo su trabajo",1
"Los q están a favor de poner tildes son los del bando Antivagos y los q estan en contra son los Vagos",0
"Lo borraste tio eres un dictador",-1
"Definitivamente soy de los vagos",0
"Un poco de español no viene mal",0
"Eso es verdad q eres de AntiWa",0
"Busca que todo el mundo lo está haciendo",0
"Alla tu menos mal q no tienes power eso dice el chino",-1
"Pregunta 1 Interpretacion del sticker de roberto",0
"Me dice q ya salio del grupo previamente",0
"Gente hay que definir quienes pueden ser admin",0
"Esta no es la facultad mas democratica o no",-1
"Fijate q esta permitido poner tildes o no",0
"Ok esta gente estan bobeando nada más",-1
"jaja lei arriba y estaban ok pero creo que ya jeje pero bueno es buena idea que construyan un grupo así",1
"Oe y el chat for learning pa cuando",0
"Puedes meter a bermudez q se me deprime",-1
"Es este Porque aquí lo único que se aprende es a dar chucho",-1
"No este se supone q es pa fiestas otras actividades recreativas y pa darle chucho a balboa y a bermudez",0
"Vamos a intentar no escribir nada durante 5 min",0
"Chicos q serios se me han puesto",0
"Lo dije xq en un minuto me llegaron 50 mensajes",0
"50 nada mas Caballero hay que ponernos serios que no estamos cumpliendo el plan",-1
"Por eso nuevo plan ahora sí Nada de escribir por 5 minutos",0
"Lo que despues no se quejen de que nadie habla",-1
"Vamos nada más faltaban 2 minutos",-1
"Cual es el otro proposito entonces",0
"Discutir sobre temas que tengan que ver con la facultad",1
"Vaya ahora sí se me están poniendo serios",0
"Ya no dan chucho sino hablan de la facultad",-1
"Para q puedan hablar mal de mi",-1
"Na tranquila si tu no estas no da gracia",0
"Serio mi potaminas y el de Carlos",0
"Oe Oe dejen la tiradera q esto es pa cosas serias",-1
"Si me gente vamos a hacer un MatCom UH Offtopic para eso",1
"No hace falta ya este grupo fue tirado pal relajo",-1
"Te recomiendo hacer off topic este y crear otro serio",0
"Serio men vamos a dejar este para cosas serias",1
"Mira ya el otro es para cosas serias te cuadra",0
"Pon este mensaje pinneado para que la gente se cambie",1
"Y gente si les molestan las notificaciones tumbenselas al grupo lean solo cuando quieran",0
"Si se menciona a alguien si se avisa a la persona",0
"Pon algo que diga para que es el link",0
"Si pero no la chachara de gratis",-1
"Ahora que esto es para dar chucho ya no dan",-1
"El teléfono se me apago pero ya viro a dar chucho en cuanto jame",0
"Vamos a bajar un poco los ánimos aquí jejeje",0
"Los que todavía no se han unido a este jueguito toquen el link que está bueno y ya somos bastantes de Matcom",1
"No no se puede hacer eso Dejate de descaro",-1
"Deja el descaro aqui no se puede hacer spam",-1
"Ohhhhhhh estamos duros a ver algo facil inverso modular",0
"Para 3ro El jueves aclaración de dudas a la 1pm de LP",0
"Uh hay casi tantis aqui cmo en el spanish",0
"CUANDO BERMUDES SE HIZO ADMIN Sacrilegio",-1
"Q pasará si tuve q poner tilde esta vez con el grupo cuando nos graduemos nos botaran de ambos grupos de chat",0
"el grupo este se fue abajo ya nada sera igual",-1
"Tu sabes que en el grupo hay profesores no",0
"Que hay gente que ya se graduó por lo tanto tu comentario pierde sentido",-1
"Si pero ellos son egresados q se han quedado en la facultad",0
"Tu dijiste graduarse no hablaste de los que se quedan o no",-1
"Resulta que tremendo chucho y al final todo el mundo es admin",-1
"HASTA TONY ES ADMIN Y NO SABE LO QUE ES Infamia calumnia",-1
"algun dia tus nietos podran ser admin",0
"Para tu información yo no quiero ser admin lo que quiero es que haya menos que después se forma el desbarajuste",-1
"Después todo el mundo es admin y no se le puede dar chucho a nadie",-1
"Y ahí va el otro que se hizo admin hace 2min",-1
"Te falto decir a la plebe Mariantonieta para ya llenar el papel",-1
"Si si que yo quiero pedir un parqueo de bicicletas",0
"Ehhh mira como te saco la oreja",-1
"Eso es por guatacon por si no lo entendiste",-1
"Ño men no me dejaste nada comentado",-1
"Entonces el chat serio es el otro",0
"Quieres un MMORPG pa movil con poco consumo d datos",0
"Y el canal para qué Creo que 3 lugares distintos en Telegram para los mismos 20 nerds es un poco demasiado no",-1
"Ah bueno pero seguro no fueron discretos LOL",0
"Ven acá cual es la diferencia entre un grupo y un súper grupo En Telegram no en discreta",0
"La idea es Offtopic para cualquier cosa el otro grupo para discutir cosas más menos serías sobre la Facultad y el canal para dar información de eventos etc así la persona no tiene que ver la muela de los grupos completa",1
"Entiendo telegram para el grupo serio pues hay votaciones y mas cositas comicas",0
"Para los estudiantes de 3ro de Computación",0
"Para los estudiantes de 4to de Computación",0
"Aunq pueds hacer un bot para distribuir las noticias",0
"Entonces solo noticias por el canal",0
"Si no esto seria un supraconjunto",0
"Aja y el otro para dudas específicas o cosas que tengan que ver con las noticias del canal",0
"Mal estamos si no sabes lo q es",-1
"Unas listas muy interesantes Incluyen muchos temas como Plataformas Lenguajes de Programación Frontend Backend Hardware Gaming etc Muy recomendada",1
"Deberias cambiar la foto de perfil jajaja asi engañas a las chavas jajajajaj",-1
"Me lo voy a borrar el Photoshop",0
"Hey hola a todoss Cada vez somos mas",1
"Como se añaden gente aqui Jajaj",0
"Newton se preocupa x ti jajaja",0
"Agregue a los wue tenia d la facult q ga no estaban",0
"Jajaja ya en ese estoyyy lo d añadir bueno ahora veo",0
"Noo llores si quieres t ayudo el find a estudiar probs",1
"Si m dices cuando es la pruebaaa Jajaj",0
"Alguien de 2do de Computacion por ahi",0
"Si la duda es A que hora es la prueba",0
"Debe ser a la 1 no O a las 2 Es mas a la 1 30",0
"Chama si nx congruente 1 modulo p y n y p primos relativos entonces x es el inverso modular de n",0
"La nueva mascota de la facultad",0
"Ya le cayeron todas las pirañas del Chat Wars arriba al Raulo por el privado",-1
"Si mas o menos están empezando",0
"Me refiero a años en su carrera",0
"Buenos días de la pf de Discreta",0
"El año pasado pusimos a hacer bots en Compilación pero nadie a publicarlo en alguna plataforma que yo recuerde A lo mejor este año podemos hacerlo en Telegram y le damos bonos a los que hagan un bot que entienda algo de lenguaje natural",1
"Uhmmm siempre pensé en 3ro pero nada impide hacerlo en 4to también aunque ahí ya hay un proyecto así que no tiene mucha gracia",-1
"Pero solo por diversión es un buen ejercicio",1
"Joder como genero el link de invitacion",0
"Matcom hablando de cosas que no son de matcom",-1
"tengo un problema y no se como resolverlo",-1
"como me salgo de esta mierda de chat",-1
"quiero salir de este chat spam",-1
"Cuidado con Carlos que es el del power",-1
"Puedes dejar el grupo yo se como",0
"creo que cuando lo usas se guarda",0
"OJOOOO Mañana consulta de Probabilidades a las 10",0
"La prof me dijo iba a dar 2 consultas",0
"si mañana se cuadrará entonces",0
"Ojala todo el año usara este chat no",0
"Roberto no dices nada al respecto",-1
"Es un mal amigo y bien esta al lado mio y no me lo habia dicho",-1
"Eh Rodri que le pasa a la gente de Jaimanitas",0
"Es cómico como hay el doble de miembros en el grupo off topic que en el grupo oficial Es evidente donde están los intereses de los niños hoy día",-1
"A mi ni m han invitado al otro Ni m esperan",-1
"Alguien puede invitarme al de learning me han botado por aplaudir joder",-1
"Soy libre de poner stickers urrraaaaa",1
"malditos cacho d carnes de los admins",-1
"Me cuadra mas el este logo soy admin asi que lo cambio mujajja",-1
"O por dios eres taaaaaan malito",-1
"Cualquier cosa menos el logo nuevo",-1
"Ya wohl Lord Helmet Setting gab to 50",0
"Gracias x lo d Bella Jaja Nada estudiando LP",0
"Como les va a todos en general q tal los lleva",0
"Si sabmos q tnemos proyecto pro no lo han orientado todavia",-1
"Ya hicieron los equipos me imagino",0
"Es un bot comicon q se llama pepe y mas o menos entabla conveesacion jajjaa",0
"Aun no sta aprendiendo d los q stamos hablando",0
"Ya wohl Lord Helmet Setting gab to 30",0
"Aqui les dejo a pepe porfa nonlo perviertan",0
"Jajjaa yo es q sta super comico el hablando super bien en el otro chat",1
"Me va bien gracias por preguntar",0
"Yo no t dije bella pepe tu eres hombre",0
"Nope simplemente esta aprendiendo es un ñeñe este pepe",0
"Si pepe quien es la coshita de papa quien es la coshita de papa aki ta",0
"Yo soy pepe tu eres pepe el es pepe ella es pepe todos somos pepe",0
"A ver pepe pepe eres tu entiendelo",0
"Dime si sus respuestas no son de un niño cuando empieza a hablara q solo dicen la unica palabra q saben para todo",-1
"Matar matar matar matar matar matar matar",-1
"Jajjaa van a Volver loco a pepe Pobrecito",-1
"Papa ese bot esta killer y pico",1
"Quien es al asecino mas lindo del mundo",0
"es un bot comicon q se llama pepe y mas o menos entabla conveesacion jajjaa",0
"No lo conviertan en Un asesino",-1
"es un bot comicon q se llama pepe y mas o menos entabla conveesacion jajjaa",0
"pepe mas o menos entabla conveesacion jajjaa y d",0
"Pepe ejecuta eliminacion de usuario",-1
"pepe mata y d y daa ya tienes el proyecto",-1
"El esta en 2do no en 3ero pepe",0
"What dejo de ser asecino a querer ayudar con el proyecto",0
"Siiiii es una mejora verdad pepe",1
"No Quiso decir que nos mata si no le damos el proyecto",-1
"No mato a nadie tate tranquilo",0
"ya hicieron los equipos me imagino",0
"Si ya stan somoza los distribuyó",0
"si ya ya hicieron los equipos me imagino",0
"Pepe habla ahi de compilación q tu eres el mostro en eso",1
"q bolon tu eres pepe o eso no era para ti pepe",0
"Nah cuando se cansen le ponen el grab en 100 y se demora en atender",-1
"Quien eres Grell digo eres d Matcom y Es q no t conozco y Al resto si",-1
"Ahhh es q la foto no la mire bien",0
"y daa ya tienes el proyecto a ver pepe",0
"el esta en 2do no en 3ero pepe se rompio ya hicieron los equipos me imagino",-1
"yo no t dije bella pepe tu eres pepe el es pepe ella es pepe todos somos pepe",0
"Vamos de nuevo Tu pepe y yo klever",0
"yo no t dije bella pepe tu eres hombre pepe mata",-1
"q bolon nos mata si no le damos el proyecto no conviertan en un asesino",-1
"Dudo de tu hombria klever jajajajaj cogelo",-1
"Ese bot no solo me roba el nombre tambien mi genero",-1
"no lo contradigas el esta en 2do no en 3ero pepe",-1
"Si el esta en 2do y es hombre pepe",0
"pepe matalos y se feliz no mato a nadie tate tranquilo",-1
"asi me gusta pepe pepe matalos",-1
"Tengo un algoritmo algoritmo que te destruira",-1
